Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-s37s20,38.0,-47.97,19.867,19.066,19.046,19.999,20.09,22.47,20.423,22.587,20.123,22.428,20.7,21.837,1.904,1.637,1.577,1.598,1.624,1.46,1.525,1.438,1.562,1.274,1.118,1.164,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0
SPLUS-s37s28,54.0,-47.97,19.841,19.064,19.036,19.986,20.073,22.457,20.416,22.582,20.119,22.43,20.694,21.852,2.37,2.138,2.14,2.04,1.965,1.972,1.972,2.067,1.911,1.789,1.342,1.544,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0
SPLUS-s37s29,56.0,-47.97,19.848,19.063,19.039,20.004,20.089,22.48,20.433,22.591,20.131,22.436,20.706,21.865,1.502,1.347,1.409,1.427,1.357,1.26,1.24,1.294,1.281,1.15,1.072,1.074,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0
SPLUS-s37s30,58.0,-47.97,19.865,19.08,19.06,20.014,20.097,22.491,20.441,22.598,20.133,22.45,20.709,21.872,1.514,1.288,1.249,1.27,1.213,1.241,1.188,1.266,1.35,1.079,1.112,1.067,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0
SPLUS-s37s31,60.0,-47.97,19.866,19.077,19.043,19.993,20.082,22.464,20.411,22.585,20.133,22.435,20.718,21.86,1.722,1.634,1.425,1.429,1.408,1.362,1.317,1.327,1.395,1.183,1.192,1.141,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0
SPLUS-s37s32,62.0,-47.97,19.908,19.11,19.062,20.027,20.11,22.498,20.452,22.611,20.152,22.456,20.719,21.89,2.087,1.861,1.688,1.713,1.737,1.832,1.845,1.86,1.737,1.513,1.299,1.332,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0
SPLUS-s37s33,64.0,-47.97,19.91,19.123,19.091,20.044,20.12,22.504,20.455,22.616,20.157,22.467,20.735,21.904,1.732,1.355,1.283,1.429,1.294,1.241,1.277,1.229,1.216,1.096,1.093,1.075,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0
SPLUS-s37s34,66.0,-47.97,19.919,19.141,19.097,20.054,20.137,22.515,20.47,22.616,20.157,22.46,20.719,21.887,2.247,2.094,1.857,2.0,2.02,1.873,1.963,1.772,1.971,1.747,1.534,1.906,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0,59176.0
SPLUS-s37s35,68.0,-47.97,19.933,19.139,19.088,20.037,20.11,22.485,20.436,22.61,20.15,22.472,20.726,21.919,1.263,1.232,1.219,1.238,1.205,1.231,1.202,1.314,1.382,1.182,1.092,1.06,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0,59174.0
SPLUS-s37s36,70.0,-47.97,20.728,19.928,19.918,20.902,21.014,23.383,21.344,23.461,20.991,23.287,21.569,22.699,2.009,1.963,1.885,1.79,1.68,1.669,1.678,1.749,1.643,1.249,1.277,1.165,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0,58884.0
SPLUS-s37s37,72.0,-47.97,20.359,19.578,19.558,20.495,20.57,22.951,20.918,23.186,20.76,23.101,21.437,22.512,1.744,1.273,1.374,1.175,1.194,1.136,1.096,1.084,1.213,1.017,1.149,1.053,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0,58874.0
SPLUS-s37s38,74.0,-47.97,20.771,19.93,19.927,20.901,21.017,23.387,21.345,23.464,20.993,23.288,21.563,22.699,1.772,1.914,2.07,2.007,2.071,2.284,1.906,1.907,1.815,2.094,1.961,2.218,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0,58836.0
SPLUS-s37s39,316.0,-47.97,20.739,19.98,19.988,20.997,21.134,23.492,21.44,23.551,21.059,23.369,21.621,22.854,2.435,1.87,1.938,1.728,1.512,1.516,1.489,1.937,1.67,1.286,1.359,1.546,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0,58697.0
SPLUS-s37s44,326.0,-47.97,20.75,19.989,20.0,21.002,21.132,23.504,21.45,23.539,21.067,23.353,21.186,22.801,3.023,2.514,1.93,1.834,1.825,1.812,1.961,1.884,1.973,1.61,1.309,1.367,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0
SPLUS-s38s05,8.18,-49.27,19.807,19.024,18.996,19.989,20.096,22.484,20.445,22.616,20.174,22.477,20.751,21.922,2.206,1.921,1.687,1.776,1.612,1.36,1.523,1.519,1.837,1.347,1.492,1.256,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0,59404.0
SPLUS-s38s27,53.18,-49.27,19.805,19.02,18.977,19.947,20.04,22.42,20.375,22.547,20.091,22.398,20.688,21.811,1.722,1.599,1.544,1.516,1.329,1.247,1.228,1.209,1.427,1.059,1.178,1.032,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0
SPLUS-s38s28,55.23,-49.27,19.868,19.092,19.057,20.021,20.118,22.486,20.44,22.606,20.142,22.465,20.725,21.916,1.481,1.537,1.543,1.544,1.372,1.545,1.457,1.483,1.443,1.228,1.128,1.131,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0,59217.0
SPLUS-s38s29,57.27,-49.27,19.852,19.071,19.063,19.998,20.089,22.476,20.431,22.59,20.128,22.445,20.711,21.892,1.782,1.397,1.317,1.311,1.328,1.311,1.257,1.227,1.324,1.126,1.146,1.105,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0,59202.0
SPLUS-s38s30,59.32,-49.27,20.823,20.034,20.043,21.021,21.141,23.507,21.441,23.542,21.076,23.351,21.611,22.772,1.969,1.684,1.614,1.532,1.54,1.646,1.593,1.607,1.787,1.634,1.533,1.514,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0
SPLUS-s38s31,61.36,-49.27,19.902,19.122,19.089,20.038,20.117,22.501,20.45,22.61,20.161,22.468,20.73,21.911,1.979,1.84,1.811,1.765,1.629,1.55,1.459,1.508,1.519,1.329,1.073,1.168,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0
SPLUS-s38s32,63.41,-49.27,19.919,19.118,19.083,20.033,20.122,22.5,20.455,22.615,20.155,22.472,20.729,21.921,1.738,1.641,1.439,1.463,1.424,1.437,1.424,1.433,1.394,1.41,1.302,1.474,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0
SPLUS-s38s33,65.45,-49.27,19.888,19.118,19.077,20.044,20.138,22.507,20.459,22.616,20.158,22.47,20.725,21.916,2.224,2.122,2.021,1.972,1.778,1.569,1.605,1.633,1.569,1.373,1.267,1.169,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0
SPLUS-s38s34,67.5,-49.27,19.912,19.139,19.103,20.053,20.139,22.511,20.463,22.615,20.152,22.464,20.724,21.913,2.047,2.031,1.712,1.804,1.951,1.763,1.998,1.57,1.469,1.377,1.178,1.216,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0,59178.0
SPLUS-s38s35,69.55,-49.27,19.894,19.124,19.068,20.031,20.114,22.497,20.449,22.609,20.149,22.467,20.726,21.91,1.409,1.294,1.316,1.349,1.314,1.396,1.285,1.328,1.392,1.251,1.385,1.358,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0,59175.0
SPLUS-s38s36,71.59,-49.27,20.71,19.938,19.917,20.885,21.0,23.378,21.329,23.453,20.985,23.285,21.565,22.702,1.748,1.573,1.565,1.482,1.523,1.609,1.465,1.707,1.55,1.508,1.511,1.607,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0
SPLUS-s38s37,73.64,-49.27,20.706,19.92,19.929,20.891,21.012,23.382,21.351,23.46,20.99,23.29,21.578,22.715,1.765,1.625,1.676,1.755,1.785,1.682,1.719,1.656,1.793,1.494,1.626,1.397,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0,58837.0
SPLUS-s38s38,315.0,-49.27,20.753,19.981,19.992,21.0,21.129,23.5,21.453,23.535,21.061,23.337,21.608,22.756,1.337,1.289,1.259,1.199,1.253,1.34,1.37,1.242,1.574,1.38,1.478,1.405,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0
SPLUS-s38s47,333.41,-49.27,20.928,20.147,20.159,21.139,21.259,23.591,21.525,23.594,21.111,23.399,21.657,22.832,2.557,2.327,2.411,2.467,2.568,2.56,2.594,3.065,2.764,2.821,2.127,2.537,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0,58363.0
SPLUS-s39s20,40.0,-50.56,20.815,20.062,20.069,21.071,21.182,23.488,21.419,23.531,21.056,23.37,21.632,22.795,1.858,1.721,1.723,1.852,1.857,1.671,1.802,1.721,1.713,1.6,1.529,1.399,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0,58404.0
SPLUS-s39s24,48.42,-50.56,19.736,18.968,18.94,19.919,20.024,22.413,20.385,22.558,20.096,22.409,20.691,21.846,2.158,1.829,1.724,1.872,1.909,2.274,1.942,2.043,2.008,1.673,1.6,1.677,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0,59249.0
SPLUS-s39s25,50.52,-50.56,19.709,18.927,18.885,19.854,19.941,22.352,20.318,22.516,20.061,22.383,20.684,21.792,2.895,2.667,2.386,2.488,2.336,2.437,2.499,2.459,2.722,2.164,2.155,2.057,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0,59250.0
SPLUS-s39s27,54.74,-50.56,19.812,19.024,18.983,19.948,20.025,22.4,20.358,22.548,20.084,22.414,20.696,21.845,1.785,1.846,1.713,1.617,1.533,1.43,1.356,1.326,1.34,1.232,1.145,1.136,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0,59219.0
SPLUS-s39s28,56.84,-50.56,19.862,19.073,19.049,20.029,20.118,22.502,20.45,22.601,20.139,22.44,20.72,21.846,1.406,1.319,1.219,1.182,1.179,1.226,1.159,1.246,1.151,1.164,1.072,1.097,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0
SPLUS-s39s29,58.95,-50.56,19.816,19.03,19.004,19.98,20.073,22.458,20.41,22.573,20.117,22.431,20.697,21.857,1.826,1.575,1.624,1.925,2.43,2.052,2.009,1.822,1.226,1.322,1.031,1.26,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0,59203.0
SPLUS-s39s30,61.05,-50.56,19.855,19.065,19.046,19.997,20.077,22.476,20.429,22.593,20.137,22.439,20.718,21.862,1.636,1.521,1.432,1.444,1.47,1.371,1.349,1.517,1.487,1.26,1.134,1.101,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0
SPLUS-s39s31,63.16,-50.56,19.874,19.074,19.033,20.006,20.1,22.487,20.435,22.598,20.136,22.449,20.72,21.876,1.595,1.403,1.281,1.343,1.254,1.264,1.256,1.338,1.35,1.108,0.979,1.034,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0,59192.0
SPLUS-s39s32,65.26,-50.56,19.847,19.064,19.06,19.987,20.068,22.459,20.408,22.576,20.119,22.432,20.706,21.861,1.4,1.203,1.214,1.269,1.167,1.183,1.172,1.133,1.203,1.0,1.004,1.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0
SPLUS-s39s33,67.37,-50.56,19.782,19.008,18.972,19.939,20.035,22.433,20.393,22.569,20.113,22.431,20.702,21.861,1.602,1.585,1.436,1.419,1.406,1.586,1.519,1.593,1.753,1.319,1.352,1.154,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0
SPLUS-s39s34,69.48,-50.56,19.917,19.137,19.093,20.046,20.127,22.503,20.449,22.614,20.154,22.464,20.722,21.904,1.552,1.571,1.406,1.426,1.327,1.405,1.276,1.451,1.456,1.225,1.119,1.209,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0
SPLUS-s39s35,71.58,-50.56,19.919,19.137,19.084,20.048,20.133,22.504,20.451,22.615,20.155,22.466,20.723,21.914,1.512,1.44,1.558,1.45,1.461,1.345,1.282,1.418,1.558,1.248,1.26,1.213,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0,59177.0
SPLUS-s39s36,73.68,-50.56,20.513,19.705,19.689,20.619,20.682,23.075,21.046,23.265,20.82,23.156,21.473,22.565,1.731,1.664,1.645,1.613,1.428,1.399,1.624,1.441,1.384,1.225,1.145,1.21,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0
SPLUS-s39s37,315.79,-50.56,20.767,20.009,20.011,20.995,21.126,23.491,21.429,23.521,21.044,23.323,21.591,22.745,2.119,1.94,2.003,1.877,1.883,1.921,1.83,1.767,1.849,1.703,1.472,1.444,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0
SPLUS-s39s38,317.9,-50.56,19.781,19.003,18.99,19.944,20.036,22.443,20.389,22.565,20.11,22.436,20.708,21.895,1.961,2.076,1.896,1.804,1.985,1.939,1.82,1.716,1.703,1.63,2.017,1.62,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0,59345.0
SPLUS-s40s17,34.7,-51.85,19.699,18.873,18.877,19.889,20.015,22.455,20.417,22.589,20.129,22.466,20.734,21.934,1.621,1.742,1.758,1.558,1.749,1.595,1.528,1.421,1.839,1.694,1.44,1.743,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0,59433.0
SPLUS-s40s26,54.22,-51.85,19.788,19.006,18.96,19.923,20.029,22.415,20.367,22.53,20.07,22.38,20.668,21.769,2.056,1.857,1.691,1.599,1.591,1.431,1.484,1.414,1.619,1.237,1.176,1.239,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0,59234.0
SPLUS-s40s27,56.39,-51.85,19.786,19.02,18.978,19.938,20.023,22.396,20.351,22.543,20.085,22.399,20.688,21.809,1.984,1.95,1.962,1.945,2.094,1.749,1.723,1.608,1.441,1.319,1.251,1.338,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0,59221.0
SPLUS-s40s28,58.55,-51.85,19.822,19.039,19.022,19.968,20.06,22.45,20.41,22.571,20.111,22.415,20.692,21.836,2.139,1.84,1.629,1.549,1.411,1.556,1.356,1.474,1.57,1.329,1.279,1.265,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0,59205.0
SPLUS-s40s29,60.72,-51.85,19.852,19.066,19.024,19.987,20.069,22.458,20.407,22.577,20.118,22.423,20.701,21.842,1.624,1.488,1.345,1.288,1.245,1.215,1.22,1.247,1.32,1.036,1.049,0.994,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0,59199.0
SPLUS-s40s30,62.89,-51.85,19.778,18.999,18.976,19.952,20.044,22.439,20.406,22.568,20.111,22.431,20.704,21.859,1.923,1.686,1.558,1.609,1.487,1.335,1.406,1.4,1.403,1.187,1.162,1.162,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0
SPLUS-s40s31,65.06,-51.85,19.798,19.017,18.962,19.943,20.026,22.409,20.366,22.549,20.097,22.407,20.69,21.833,1.587,1.421,1.333,1.416,1.301,1.291,1.282,1.204,1.54,1.123,1.211,1.096,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0,59189.0
SPLUS-s40s32,67.23,-51.85,19.858,19.068,19.043,20.004,20.089,22.479,20.426,22.597,20.137,22.447,20.717,21.874,1.498,1.58,1.263,1.155,1.096,1.157,1.162,1.146,1.211,1.033,1.008,0.996,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0
SPLUS-s40s33,69.4,-51.85,19.859,19.075,19.032,19.997,20.078,22.466,20.421,22.588,20.13,22.445,20.713,21.876,1.273,1.185,1.19,1.185,1.157,1.168,1.143,1.162,1.267,1.085,1.04,1.051,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0,59191.0
SPLUS-s40s34,71.57,-51.85,19.849,19.065,19.035,20.001,20.089,22.479,20.434,22.597,20.134,22.443,20.714,21.871,1.913,1.766,1.637,1.613,1.635,1.483,1.544,1.574,1.514,1.294,1.071,1.141,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0,59190.0
SPLUS-s40s35,73.73,-51.85,20.374,19.605,19.535,20.475,20.545,22.992,20.948,23.202,20.764,23.086,21.441,22.473,1.755,1.599,1.335,1.315,1.324,1.359,1.456,1.299,1.566,1.201,1.123,1.101,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0
SPLUS-s41s26,55.55,-53.14,19.85,19.068,19.025,19.986,20.069,22.457,20.408,22.581,20.127,22.436,20.715,21.849,1.735,1.518,1.439,1.423,1.387,1.317,1.307,1.258,1.36,1.252,1.203,1.246,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0,59220.0
SPLUS-s41s27,57.78,-53.14,19.839,19.038,19.007,19.964,20.049,22.435,20.389,22.57,20.115,22.435,20.715,21.864,2.03,1.814,1.705,1.515,1.503,1.499,1.354,1.346,1.516,1.211,1.453,1.227,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0
SPLUS-s41s28,60.0,-53.14,19.785,19.001,18.979,19.938,20.033,22.424,20.378,22.55,20.091,22.393,20.681,21.795,1.616,1.462,1.359,1.359,1.4,1.332,1.35,1.351,1.315,1.114,1.098,1.014,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0,59207.0
SPLUS-s41s29,62.22,-53.14,19.837,19.062,19.024,19.983,20.073,22.464,20.417,22.58,20.118,22.428,20.701,21.847,1.402,1.282,1.27,1.294,1.255,1.228,1.254,1.278,1.216,1.1,1.032,1.031,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0,59200.0
SPLUS-s41s30,64.45,-53.14,19.775,18.99,18.976,19.929,20.029,22.436,20.399,22.571,20.112,22.43,20.707,21.864,1.736,1.639,1.592,1.504,1.497,1.499,1.45,1.549,1.817,1.35,1.433,1.366,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0
SPLUS-s41s31,66.67,-53.14,19.829,19.058,19.015,19.992,20.079,22.466,20.412,22.589,20.129,22.445,20.713,21.876,1.213,1.13,1.085,1.042,1.025,1.038,1.026,1.094,1.128,1.018,1.001,1.013,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0
SPLUS-s41s32,68.89,-53.14,19.839,19.07,19.045,20.003,20.09,22.479,20.433,22.592,20.123,22.453,20.718,21.886,1.172,1.075,1.097,1.044,1.054,1.081,1.05,1.069,1.074,1.053,0.997,1.091,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0,59198.0
SPLUS-s41s33,71.11,-53.14,19.835,19.058,19.035,19.993,20.094,22.478,20.429,22.592,20.13,22.44,20.712,21.867,1.612,1.344,1.22,1.284,1.267,1.26,1.292,1.312,1.409,1.153,1.03,1.064,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0,59194.0
SPLUS-s41s34,73.33,-53.14,19.835,19.058,19.025,19.995,20.086,22.47,20.427,22.589,20.124,22.437,20.706,21.861,1.669,1.537,1.509,1.407,1.363,1.32,1.315,1.258,1.183,1.11,1.017,1.028,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0,59195.0
SPLUS-s42s20,43.57,-54.43,19.659,18.851,18.826,19.843,19.953,22.382,20.349,22.555,20.106,22.428,20.713,21.864,2.145,1.88,1.548,1.504,1.475,1.443,1.444,1.358,1.594,1.25,1.344,1.273,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0,59254.0
SPLUS-s42s25,55.03,-54.43,19.708,18.931,18.898,19.864,19.955,22.366,20.326,22.511,20.063,22.371,20.667,21.774,1.77,1.587,1.521,1.593,1.432,1.405,1.356,1.303,1.438,1.247,1.162,1.14,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0,59233.0
SPLUS-s42s26,57.33,-54.43,19.791,19.028,18.966,19.927,20.015,22.397,20.353,22.55,20.099,22.43,20.708,21.863,1.758,1.867,1.73,1.663,1.487,1.512,1.412,1.351,1.448,1.355,1.364,1.579,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0
SPLUS-s42s27,59.62,-54.43,19.853,19.06,19.018,20.002,20.095,22.487,20.439,22.597,20.133,22.444,20.717,21.854,1.241,1.164,1.113,1.094,1.127,1.163,1.107,1.11,1.122,1.117,0.98,1.225,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0,59218.0
SPLUS-s42s28,61.91,-54.43,19.804,19.013,18.993,19.947,20.038,22.433,20.387,22.562,20.106,22.418,20.692,21.845,2.05,1.902,1.676,1.524,1.545,1.509,1.548,1.537,1.678,1.349,1.23,1.227,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0,59206.0
SPLUS-s42s29,64.2,-54.43,19.823,19.049,19.018,19.973,20.066,22.454,20.408,22.575,20.118,22.426,20.7,21.856,1.945,1.673,1.398,1.264,1.18,1.206,1.15,1.222,1.21,1.09,1.112,1.082,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0
SPLUS-s42s30,66.5,-54.43,19.842,19.056,19.018,20.019,20.114,22.493,20.451,22.59,20.12,22.448,20.701,21.868,1.314,1.24,1.158,1.103,1.066,1.095,1.028,1.077,1.134,1.091,1.115,1.095,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0,59201.0
SPLUS-s42s31,68.79,-54.43,19.814,19.012,18.972,19.969,20.06,22.469,20.42,22.597,20.132,22.445,20.712,21.874,1.642,1.571,1.395,1.389,1.286,1.181,1.279,1.345,1.386,1.098,1.07,1.03,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0,59197.0
SPLUS-s42s32,71.08,-54.43,19.797,19.011,18.982,19.929,20.021,22.422,20.375,22.558,20.1,22.418,20.698,21.844,2.184,2.068,2.051,2.081,1.983,1.859,1.991,1.94,2.112,1.564,1.759,1.485,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0,59193.0
SPLUS-s42s33,73.38,-54.43,19.856,19.085,19.048,19.996,20.088,22.471,20.427,22.591,20.135,22.444,20.717,21.873,1.676,1.342,1.227,1.188,1.209,1.274,1.184,1.15,1.307,1.19,1.392,1.273,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0,59196.0
SPLUS-s42s34,316.43,-54.43,20.191,19.442,19.465,20.498,20.637,22.923,20.829,22.822,20.318,22.596,20.849,22.027,1.402,1.346,1.3,1.3,1.284,1.486,1.318,1.406,1.466,1.434,1.674,1.585,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0,57998.0
SPLUS-s42s51,355.41,-54.43,19.729,19.029,18.967,19.965,20.096,22.496,20.443,22.612,20.151,22.476,20.738,21.934,1.481,1.44,1.456,1.572,1.578,1.636,1.554,1.548,1.514,1.546,1.332,1.386,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0,59405.0
SPLUS-s43s21,47.37,-55.71,20.911,20.129,20.126,21.126,21.248,23.568,21.501,23.583,21.1,23.384,21.643,22.806,1.696,1.709,1.592,1.655,1.672,1.626,1.578,1.748,1.583,1.509,1.184,1.362,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0,58408.0
SPLUS-s43s22,49.74,-55.71,20.788,20.009,20.004,20.987,21.114,23.471,21.426,23.523,21.049,23.338,21.613,22.769,1.232,1.131,1.148,1.129,1.094,1.127,1.133,1.158,1.158,1.012,1.105,1.011,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0,58794.0
