Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0126,160.62,-40.48,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0
HYDRA-0127,162.46,-40.48,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0
HYDRA-0128,164.31,-40.48,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0
HYDRA-0129,150.78,-41.84,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0
HYDRA-0130,152.67,-41.84,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0,58514.0
HYDRA-0131,154.55,-41.84,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0,58493.0
HYDRA-0132,156.44,-41.84,58523.0,58523.0,58523.0,58523.0,58523.0,58523.0,58523.0,58523.0,58519.0,58519.0,58519.0,58519.0
HYDRA-0133,158.33,-41.84,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0
HYDRA-0134,160.21,-41.84,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0
HYDRA-0135,162.1,-41.84,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0
HYDRA-0136,163.98,-41.84,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0
HYDRA-0137,150.16,-43.21,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0
HYDRA-0138,152.09,-43.21,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0,58478.0
HYDRA-0139,154.01,-43.21,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0
HYDRA-0140,155.94,-43.21,58516.0,58516.0,58516.0,58517.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0
